zoe,melgar,carlos,brito,sasil,era,claudia,marcelo,monreal
PAN,,,,PT,,Ns/Nc,Ns/Nc,
,,MORENA,,,,MORENA,,
,,,,,,,,
MORENA,,MORENA,MORENA,,MORENA,MORENA,MORENA,MORENA
,,MORENA,,,,,,
MORENA,,,,,MORENA,,,
,,MORENA,,,,,,
,MORENA,,,,,,,
PRI,,MORENA,,,,PRI,PRD,
,,MORENA,,PRI,,,,
,,MORENA,,,,MORENA,MORENA,
,,PRI,,,PRI,,,
,,,,,,MORENA,Ns/Nc,
,,,,,,,,
PAN,,MORENA,MORENA,,PVEM,,,
,,,,,,,,
Ns/Nc,,Ns/Nc,,,PRD,Ns/Nc,MORENA,PRD
,,MORENA,,PVEM,PVEM,,,
,,,,,,,,
,,MORENA,,,,,PRI,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,,
,,MORENA,,,,,,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,MORENA,
,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,,
,,MORENA,,PAN,,MORENA,,
,,MORENA,,,,,,
,,MORENA,,,,,,
PRI,,MORENA,MORENA,MORENA,MORENA,MORENA,,
,,MORENA,,,,,,
MORENA,,,,,,MORENA,MORENA,MORENA
PRI,,PRI,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,,,,,,MORENA,MORENA,
,,,,,,,Ns/Nc,Ns/Nc
,,,,,,,,
,PVEM,,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,,,,,MORENA,MORENA,PRI,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,PRI,
,,,,,,MORENA,PRD,
,,,,,,,,
,,,,,,,,
,,,,,,,PAN,
,,,,,,,Ns/Nc,
MORENA,,,,,,MORENA,MORENA,PRI
,,,,,,,,
PRD,,MORENA,,,,,,
,,MORENA,,,,MORENA,MORENA,Ns/Nc
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,PRI,
,,,,,,MORENA,MORENA,
,,,,,,,,
MORENA,,MORENA,,PRI,PVEM,MORENA,MORENA,
,,MORENA,,,,,,
,,,,,,,,
,,MORENA,,,PVEM,,,
,,MORENA,,,MORENA,MORENA,MORENA,
,,,,,,,,
Ns/Nc,,,,,,,,
PRI,,MORENA,MORENA,,,,,
MORENA,,PRD,,PVEM,PVEM,MORENA,,MORENA
,,,,,,,,
,,,,,,,,
MORENA,PVEM,,,MORENA,PVEM,MORENA,,
,,,,,,,,
Ns/Nc,,MORENA,PVEM,Ns/Nc,PVEM,Ns/Nc,MORENA,PRI
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,PVEM,PVEM,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,,
MORENA,,MORENA,,,,,,
,,,,,,,,
,,MORENA,,,,,,
,,MORENA,,,,MORENA,,
,,,,,,,,
,,,,,,,,
PRI,,MORENA,,,MORENA,MORENA,MORENA,
MORENA,,MORENA,MORENA,,,PAN,MORENA,PRD
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,PVEM,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,,
,,MORENA,,,,,MORENA,
,,,,,,,,
PRI,PRI,MORENA,MC,PVEM,MORENA,MORENA,MORENA,PT
,,,,,MORENA,,,
,,,,PVEM,,,,
,,,,,,MORENA,,
,,,,,,,,
MORENA,,MORENA,,,,MORENA,MORENA,
,,MORENA,,,,,,
PRI,,PT,,PVEM,PRI,PRD,PRI,PRD
,,,,,,,,
,,,,,,,,
PRI,PVEM,MORENA,MORENA,PVEM,PVEM,MORENA,MORENA,MORENA
,,,,,,,,MORENA
,,,,,,,,
,,,,,,,PRI,
,,MORENA,,,PRI,,,
MORENA,PVEM,MORENA,PRD,PVEM,PVEM,MORENA,MORENA,PRD
,,MORENA,,,,,,
,,MORENA,,PT,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,MORENA,
,,MORENA,,,,MORENA,,
,,MORENA,,PRD,,,,
,,MORENA,,,,,,
,,,,,,,,
MORENA,PVEM,MORENA,,,PVEM,MORENA,MORENA,MORENA
,,MORENA,,,,,,
,,PVEM,,PAN,,,PRI,
,,MORENA,,,,MORENA,MORENA,
,,PRI,,PVEM,,,PRD,
,PVEM,MORENA,,PES,MORENA,MORENA,,MORENA
,,,,,,,,
MORENA,PRI,MORENA,,,MORENA,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,PRI,MORENA,MORENA,PRI,MORENA,MORENA,MORENA,MORENA
,,PRD,,,,,PAN,
,,,,,,,,
MORENA,,MORENA,,,,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,MORENA,MORENA
,,,,,,,PAN,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,MORENA,
,,,,,,,,
,,,,,,,,
,PRI,MORENA,,PVEM,PRI,,MORENA,
,,,,,,,,
,,MORENA,,,,,,
MORENA,PVEM,MORENA,MORENA,PVEM,PVEM,MORENA,MORENA,Ns/Nc
,,,,,,,,
,,MORENA,,,,,,
,,,,,,,MORENA,
,,,,,,,MORENA,
,,MORENA,,,,,,MC
,,,,,,,MORENA,
,,MORENA,,,,,,
,,MORENA,,,,,,
,,MORENA,,,,,,
,,,,PVEM,,MORENA,,
,,MORENA,,,,,,
,,MORENA,,,,,,
,,MORENA,,,,,,
,,MORENA,,,,,,
,,,,,,,,
MORENA,,,,MORENA,,,,
,,MORENA,,,,,,
,,MORENA,,,,,,
,,,,,,,,
,,,,PRI,,,,
MORENA,,MORENA,,PVEM,,,,
PAN,,MORENA,,,,,PRI,
MORENA,,MORENA,,,,MORENA,MORENA,
,,MORENA,,,,,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,MORENA,MORENA
,,,,,PVEM,MORENA,MORENA,
,,,,,,,PRD,
,,,,,,,PRI,
,,,,,,,,
,,MORENA,,,,,,
,,,,,,,Ns/Nc,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Ns/Nc,,,PVEM,MORENA,MORENA,
,,,,,,,,
,,,,,PRI,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,PRI,
,,,,,,,,
,,,,,PVEM,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,,MORENA,,,,,,
,,MORENA,,,MORENA,,,
,,,PAN,,,,,
,,MORENA,,,,,MORENA,
MORENA,,MORENA,,,MORENA,MORENA,MORENA,
MORENA,PVEM,MORENA,,PT,PVEM,MORENA,MORENA,
PRI,,MORENA,,,PRI,,,
,,,,,,,,
,,,,,,,,
,,,,,,Ns/Nc,,
,,,,Ns/Nc,,,,
,,,,,,,,
,,PRD,,,PRD,PRD,PRD,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,PRD,,,PVEM,,MORENA,PRD
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,PVEM,,MORENA,MORENA,MORENA
,,MORENA,,,,Ns/Nc,,
,,,,,,,,
PRI,,,,,PVEM,,,
,,PRD,,,PRD,,MORENA,
,,MORENA,,,,MORENA,MORENA,MORENA
,,Ns/Nc,,Ns/Nc,,MORENA,,
MORENA,MORENA,MORENA,Ns/Nc,MORENA,PVEM,MORENA,MORENA,MORENA
PVEM,,MORENA,,PVEM,PVEM,MORENA,MORENA,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,,
MORENA,MORENA,MORENA,,,MORENA,MORENA,MORENA,MORENA
Ns/Nc,,MORENA,,,,MORENA,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Ns/Nc,,,,,,MORENA,MORENA,
PVEM,,,MORENA,PES,PVEM,MORENA,MORENA,MORENA
,,,PAN,,,MORENA,MORENA,
,,,,,,,PRI,
,,,,,PVEM,,,
,,,,,,,,
MORENA,,,MORENA,MORENA,PVEM,MORENA,MORENA,MORENA
,,,,,,MORENA,MORENA,Ns/Nc
,,,,,,,,
,,,,,,,,
MORENA,,MORENA,,PT,,,MORENA,
,,MORENA,,,,,,
PRI,,MORENA,,,MORENA,,PRI,MORENA
,,,,,PRI,,MORENA,
,,,,,,,,
,,MORENA,,,,,,
,,,,Ns/Nc,,MORENA,MORENA,
,PVEM,,,PVEM,PVEM,,,
MORENA,PVEM,MORENA,MORENA,,MORENA,MORENA,MORENA,MORENA
PT,,,,,,,PRI,MORENA
,,MORENA,,PVEM,,,MORENA,
,,,,,,,MORENA,
MORENA,PRI,PRD,,,PRD,MORENA,PRD,PRD
,,MORENA,,,PVEM,,,
,,,,,,MORENA,,
,,,,,,,PRI,
,PVEM,,,,PVEM,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,MORENA,
,,,,,,,PRI,
,,,,,,,,
PAN,,,,,,,,
,,,,,PVEM,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PVEM,,MORENA,,Mover a Chiapas,MORENA,,,
,,,,,PRI,,,
,,,,,,,,
PRD,PVEM,PRD,,,MORENA,,,MORENA
,,,,,,,,
,,,,,,,,
,,PRD,,,PRD,,,
Ns/Nc,,,,,,,,
,,Ns/Nc,,,,,,
,,PAN,,,,,,
,,MORENA,,,PVEM,,,
,,MORENA,,,,MORENA,,
,,PRD,,,,,,
,,MORENA,,,PVEM,,,
PAN,,MORENA,,Ns/Nc,PAN,,PAN,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,Ns/Nc,
MORENA,,PRD,PRI,PES,PVEM,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,MORENA,,,PRI,MORENA,MORENA,
,,MORENA,,,PRD,,,
,,MORENA,,,,,,
,,MORENA,,,MORENA,,,
,,MORENA,,,,,,
,,MORENA,,,MORENA,,MORENA,
,,Ns/Nc,,,Ns/Nc,MORENA,Ns/Nc,Ns/Nc
MORENA,,MORENA,PVEM,Ns/Nc,MORENA,MORENA,MORENA,
,,,,,,Ns/Nc,,
,,,,,,,,
,,,,,,,Ns/Nc,
,,,,,,Ns/Nc,,
,,,,,,,Ns/Nc,
,,,,,,,,
,,MORENA,,,,,,
,,MORENA,,PRI,PVEM,,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,MORENA,
,,,,,,,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,MORENA,
,,,,,,,,
,,,,,PVEM,,,
,,,,,,,,
,,,,,,,,
,,,,,,,PRI,PRI
,,MORENA,MORENA,,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,PRI,
,,,,,,,,
PRI,Ns/Nc,Ns/Nc,,,,,PRI,
,,PRD,,,,,PAN,
,,,,,,,,
,,Ns/Nc,,,,,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,,
MORENA,,MORENA,,,MORENA,MORENA,MORENA,MORENA
,,,,Ns/Nc,,,Ns/Nc,
,,Ns/Nc,,,,MORENA,MORENA,
,,,,,,,PRI,
MORENA,,MORENA,MORENA,,MORENA,MORENA,MORENA,
,,MORENA,,,,MORENA,MORENA,
,,,,,,,,
,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
PRI,,MORENA,,,,,MORENA,
,,PRD,,,,,,
,,,,,,,,
,,,,,,,,
Ns/Nc,,,,,,,Ns/Nc,
MORENA,,Ns/Nc,MORENA,,MORENA,,MORENA,
MORENA,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,PRI,
,,,,MORENA,,,PRI,
,,,,,,,,
MORENA,,,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,MORENA,MORENA
,,,,,,MORENA,MORENA,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,PVEM,MORENA,MORENA,PES,PVEM,MORENA,MORENA,MORENA
,PRI,,PRI,PES,PVEM,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,MORENA,
,,,,,,,,
,,,,,,,,
MORENA,,,,,,MORENA,MORENA,MORENA
,,,,,Ns/Nc,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PRI,,,
,,,,,PVEM,MORENA,,
,,,,,,,,MORENA
,,,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,Ns/Nc,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,Ns/Nc,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,PVEM,,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,,
PRI,,MORENA,MORENA,,MORENA,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,MORENA,
,,MORENA,,,,,,
,,,,,,,,
,PVEM,MORENA,,,,,MORENA,
,,,,,,,,
,MORENA,,,,PRI,,,
,,MORENA,,,,MORENA,MORENA,MORENA
,,PRD,,,PRI,,,
,,,,,,,,
PRI,,,PRI,Chiapas Unido,MORENA,MORENA,PRD,PRD
,,MORENA,,,,,,
,,PRD,,,,,,
MORENA,PVEM,MORENA,,MORENA,MORENA,MORENA,MORENA,MORENA
PVEM,PVEM,MORENA,PVEM,MORENA,MORENA,,,
,,,,,,,,
,,,,PVEM,,,,
,,,,,,,,
PRD,PRI,MORENA,,,PVEM,MORENA,MORENA,PRD
,,,,,,MORENA,,
,,,,,,,,
MORENA,,MORENA,,,MORENA,MORENA,MORENA,
,,,,,,,,
,,MORENA,,,,,,
,,MORENA,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
MORENA,,MORENA,,PVEM,PVEM,,,
,,,,,,,,
PVEM,PVEM,MORENA,,,PVEM,MORENA,PRD,
,,,,,,,,
,,MORENA,,,,,,
,,MORENA,,,,Ns/Nc,MORENA,
,,,,,MORENA,,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,MORENA,,,,
,,MORENA,MORENA,,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,MORENA,,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,Ns/Nc,,
,,,,,,,,
,,PRI,,PANAL,,,,
,,,,,,,,
Ns/Nc,,MORENA,PVEM,,,,,
,,MORENA,,,,MORENA,MORENA,
,,,,,,,Ns/Nc,
,,,,,,,,
,,MORENA,,,MORENA,MORENA,MORENA,MORENA
,,MORENA,,,,,,
,,MORENA,,,,,,
,,MORENA,,,,,,
,,,,,,,,
,,,,,PVEM,,MORENA,
MORENA,,MORENA,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PVEM,,,
,,,,,,,,
,,,,,,,PAN,
,,,,,,,PRI,
,,,,,,,,
,,MORENA,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Ns/Nc,,,
,,,,MORENA,,,MORENA,MORENA
,,,,,MORENA,,,
,,,,,,,PRI,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PVEM,,,
,,,,,,,,
,,,,,,,MORENA,
,,,,PES,PVEM,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PVEM,,,,,,,,
,,,,,,,,
,,,,,,,,
PRI,,,,,PRI,,PRI,
,,,,,,,,
,,MORENA,,,,,,
,,,,,,,,
,,MORENA,,,PVEM,,,
,,,,,,,,
PT,PAN,PRI,PRI,MORENA,PVEM,MORENA,MORENA,PRD
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,MORENA,
MORENA,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PVEM,,,
,,Ns/Nc,PRD,,,MORENA,Ns/Nc,
,,,,,,,,
,,,,,,,MORENA,
,,,,,,,,
PVEM,,MORENA,,PVEM,PRI,MORENA,MORENA,MORENA
,,MORENA,MORENA,MORENA,PVEM,MORENA,MORENA,
PRI,,,,,,,MORENA,
,,PRI,,,PRD,PAN,PAN,
MORENA,,PRD,,PRI,,MORENA,MORENA,
,,MORENA,,,,,MORENA,
,,,,,,,,
MORENA,PRI,PRD,PVEM,PVEM,PVEM,MORENA,PRD,MORENA
,,,,,,,,
MORENA,,MORENA,,,PVEM,,MORENA,
,,,,,,,,
PRI,PVEM,MORENA,MORENA,PRI,MORENA,MORENA,MORENA,MORENA
,,,,,,,,
,,MORENA,,MORENA,PVEM,,,
,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Ns/Nc,,,,,,
,,,,,,,,
,,PAN,,PVEM,,,,
,,,MORENA,,MORENA,MORENA,MORENA,
,,,,,,,,
,,,,,PVEM,MORENA,,
,,,,,,,MORENA,
,,MORENA,MORENA,,,,,
,,,,,,,,
,,PT,,,,,,
,,MORENA,,,,,,
,,,,PVEM,,,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,MORENA,MORENA,
MORENA,,,,,,MORENA,,
MORENA,,MORENA,,,,,MORENA,MORENA
,,Ns/Nc,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
,PVEM,,,,,,,
,,,,,PVEM,,MORENA,
,,,,,,,PRI,
MORENA,,MORENA,,,MORENA,MORENA,MORENA,MORENA
,,,,,,,PRD,
,,MORENA,,,,MORENA,MORENA,
,,,,,,,,
,,Ns/Nc,,,,,,
,,,,,,,,
PVEM,,,Ns/Nc,,,,PVEM,
,,MORENA,,,Ns/Nc,,PRI,
PRI,,MORENA,,PVEM,,MORENA,PVEM,
,,,,Ns/Nc,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,MORENA,
,,MORENA,,,,,,
,,MORENA,,,,MORENA,MORENA,
,,MORENA,,,,,,
MORENA,PVEM,MORENA,MORENA,PVEM,MORENA,MORENA,MORENA,MORENA
PRI,,,,,,MORENA,,MORENA
,,,,,,,,
,,MORENA,,PVEM,PVEM,,,
,,,,,,,,
,,PAN,,PRI,,,,
MORENA,,MORENA,MORENA,PVEM,PVEM,MORENA,MORENA,MORENA
,,,,,,,,
,,MORENA,,PRI,PRI,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
MORENA,,MORENA,MORENA,,PVEM,MORENA,,
,,,,,,,,
,,MORENA,,,,MORENA,MORENA,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,MORENA,MORENA,
,,,,PVEM,PVEM,MORENA,MORENA,
,,,,,PRI,,,
,,,,,,,,
,,,,PVEM,,,,
,,,,,,,,
MORENA,,,,,,MORENA,MORENA,MORENA
PRI,,PRD,,,,MORENA,MORENA,
,,,,PT,MORENA,,MORENA,
PVEM,,PRD,PRI,,PRD,,,PRI
,,,,,,,,
,,,,PVEM,,,,
,,MORENA,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,PVEM,PRI,,MORENA,
,,,,,,,Ns/Nc,
,,,,Ns/Nc,,,,
,,,,,,,,
,,,,PVEM,,MORENA,,
,,,,,,,,
,,,,,,,PRI,
,,,,,,MORENA,,
,,,,,,,,
,,,,,,,,
PRI,,,,,,,,
,,,,,,,,
,,,,,,,,
PVEM,,PT,,PVEM,PRI,MORENA,PRD,MORENA
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,PVEM,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,MORENA,,,,PRI,PRI,
,,,,,,,,
,,,,,,,PAN,
,,,,,Ns/Nc,,,
MORENA,PRI,MORENA,,PES,PVEM,MORENA,Ns/Nc,
,,,,,,,,
,,,,,,,,
