seccion,g_etario,sexo,n,Localidad,pct,encuestas
472,18 a 24,MUJERES,196,EL MANGO OXETJA II,0.12136222910216718,4
472,25 a 59,HOMBRES,515,EL MANGO OXETJA II,0.3188854489164087,10
472,25 a 59,MUJERES,554,EL MANGO OXETJA II,0.3430340557275542,10
472,60 y más,HOMBRES,75,EL MANGO OXETJA II,0.04643962848297214,1
472,60 y más,MUJERES,57,EL MANGO OXETJA II,0.03529411764705882,1
483,18 a 24,HOMBRES,237,RANCHERIA JOYBE,0.12434417628541448,4
483,18 a 24,MUJERES,238,RANCHERIA JOYBE,0.1248688352570829,4
483,25 a 59,HOMBRES,577,RANCHERIA JOYBE,0.30272822665267574,9
483,25 a 59,MUJERES,674,RANCHERIA JOYBE,0.35362014690451204,11
483,60 y más,HOMBRES,90,RANCHERIA JOYBE,0.0472193074501574,1
483,60 y más,MUJERES,90,RANCHERIA JOYBE,0.0472193074501574,1
485,18 a 24,HOMBRES,159,BACHAJON,0.08493589743589744,3
485,18 a 24,MUJERES,231,BACHAJON,0.1233974358974359,4
485,25 a 59,HOMBRES,576,BACHAJON,0.3076923076923077,9
485,25 a 59,MUJERES,701,BACHAJON,0.37446581196581197,11
485,60 y más,HOMBRES,87,BACHAJON,0.046474358974358976,1
485,60 y más,MUJERES,118,BACHAJON,0.06303418803418803,2
513,18 a 24,HOMBRES,57,EJIDO NUEVO HORIZONTE,0.05858170606372045,2
513,18 a 24,HOMBRES,57,EJIDO REVOLUCION,0.05858170606372045,2
513,18 a 24,MUJERES,63,EJIDO NUEVO HORIZONTE,0.06474820143884892,2
513,18 a 24,MUJERES,63,EJIDO REVOLUCION,0.06474820143884892,2
513,25 a 59,HOMBRES,310,EJIDO NUEVO HORIZONTE,0.3186022610483042,10
513,25 a 59,HOMBRES,310,EJIDO REVOLUCION,0.3186022610483042,10
513,25 a 59,MUJERES,333,EJIDO NUEVO HORIZONTE,0.34224049331963,10
513,25 a 59,MUJERES,333,EJIDO REVOLUCION,0.34224049331963,10
513,60 y más,HOMBRES,102,EJIDO NUEVO HORIZONTE,0.10483042137718397,3
513,60 y más,HOMBRES,102,EJIDO REVOLUCION,0.10483042137718397,3
513,60 y más,MUJERES,108,EJIDO NUEVO HORIZONTE,0.11099691675231244,3
513,60 y más,MUJERES,108,EJIDO REVOLUCION,0.11099691675231244,3
515,18 a 24,HOMBRES,45,EJIDO SAN JOSE LAS PALMAS,0.09554140127388536,3
515,18 a 24,MUJERES,26,EJIDO SAN JOSE LAS PALMAS,0.055201698513800426,2
515,25 a 59,HOMBRES,158,EJIDO SAN JOSE LAS PALMAS,0.3354564755838641,10
515,25 a 59,MUJERES,162,EJIDO SAN JOSE LAS PALMAS,0.34394904458598724,10
515,60 y más,HOMBRES,47,EJIDO SAN JOSE LAS PALMAS,0.09978768577494693,3
515,60 y más,MUJERES,33,EJIDO SAN JOSE LAS PALMAS,0.07006369426751592,2
523,18 a 24,HOMBRES,94,EJIDO NUEVO LLANO GRANDE,0.091796875,3
523,18 a 24,MUJERES,89,EJIDO NUEVO LLANO GRANDE,0.0869140625,3
523,25 a 59,HOMBRES,336,EJIDO NUEVO LLANO GRANDE,0.328125,10
523,25 a 59,MUJERES,354,EJIDO NUEVO LLANO GRANDE,0.345703125,10
523,60 y más,HOMBRES,81,EJIDO NUEVO LLANO GRANDE,0.0791015625,2
523,60 y más,MUJERES,70,EJIDO NUEVO LLANO GRANDE,0.068359375,2
527,18 a 24,HOMBRES,109,EJIDO NUEVO MEXICO,0.07617051013277429,2
527,18 a 24,MUJERES,126,EJIDO NUEVO MEXICO,0.0880503144654088,3
527,25 a 59,HOMBRES,436,EJIDO NUEVO MEXICO,0.30468204053109715,9
527,25 a 59,MUJERES,510,EJIDO NUEVO MEXICO,0.35639412997903563,11
527,60 y más,HOMBRES,136,EJIDO NUEVO MEXICO,0.09503843466107617,3
527,60 y más,MUJERES,114,EJIDO NUEVO MEXICO,0.07966457023060797,2
725,18 a 24,HOMBRES,360,NUEVO MEXICO,0.1130298273155416,3
725,18 a 24,MUJERES,331,NUEVO MEXICO,0.10392464678178964,3
725,25 a 59,HOMBRES,972,NUEVO MEXICO,0.3051805337519623,9
725,25 a 59,MUJERES,1120,NUEVO MEXICO,0.3516483516483517,11
725,60 y más,HOMBRES,212,NUEVO MEXICO,0.06656200941915227,2
725,60 y más,MUJERES,190,NUEVO MEXICO,0.059654631083202514,2
730,18 a 24,HOMBRES,297,PUERTO SAN BARTOLO,0.1204868154158215,4
730,18 a 24,MUJERES,263,PUERTO SAN BARTOLO,0.10669371196754564,3
730,25 a 59,HOMBRES,842,PUERTO SAN BARTOLO,0.3415821501014199,10
730,25 a 59,MUJERES,817,PUERTO SAN BARTOLO,0.3314401622718053,10
730,60 y más,HOMBRES,126,PUERTO SAN BARTOLO,0.051115618661257606,2
730,60 y más,MUJERES,120,PUERTO SAN BARTOLO,0.0486815415821501,1
735,18 a 24,HOMBRES,193,EL ENCANTO,0.08573967125721901,3
735,18 a 24,MUJERES,244,EL ENCANTO,0.10839626832518881,3
735,25 a 59,HOMBRES,675,EL ENCANTO,0.2998667258996002,9
735,25 a 59,MUJERES,796,EL ENCANTO,0.35362061306086184,11
735,60 y más,HOMBRES,156,EL ENCANTO,0.0693025322079076,2
735,60 y más,MUJERES,187,EL ENCANTO,0.08307418924922257,2
736,18 a 24,HOMBRES,260,SALTILLO,0.09167842031029619,3
736,18 a 24,MUJERES,262,SALTILLO,0.0923836389280677,3
736,25 a 59,HOMBRES,886,SALTILLO,0.3124118476727786,9
736,25 a 59,MUJERES,1032,SALTILLO,0.3638928067700987,11
736,60 y más,HOMBRES,182,SALTILLO,0.06417489421720733,2
736,60 y más,MUJERES,214,SALTILLO,0.07545839210155147,2
739,18 a 24,HOMBRES,237,GABINO VAZQUEZ,0.10772727272727273,3
739,18 a 24,MUJERES,212,GABINO VAZQUEZ,0.09636363636363636,3
739,25 a 59,HOMBRES,648,GABINO VAZQUEZ,0.29454545454545455,9
739,25 a 59,MUJERES,802,GABINO VAZQUEZ,0.36454545454545456,11
739,60 y más,HOMBRES,147,GABINO VAZQUEZ,0.06681818181818182,2
739,60 y más,MUJERES,154,GABINO VAZQUEZ,0.07,2
740,18 a 24,HOMBRES,183,SAN JOSE LAS PALMAS,0.07898144151920587,2
740,18 a 24,MUJERES,220,SAN JOSE LAS PALMAS,0.09495036685369011,3
740,25 a 59,HOMBRES,750,SAN JOSE LAS PALMAS,0.32369443245576174,10
740,25 a 59,MUJERES,819,SAN JOSE LAS PALMAS,0.35347432024169184,11
740,60 y más,HOMBRES,167,SAN JOSE LAS PALMAS,0.07207596029348295,2
740,60 y más,MUJERES,178,SAN JOSE LAS PALMAS,0.07682347863616745,2
741,18 a 24,HOMBRES,244,EL PROGRESO,0.10141313383208644,3
741,18 a 24,MUJERES,238,EL PROGRESO,0.09891936824605153,3
741,25 a 59,HOMBRES,765,EL PROGRESO,0.3179551122194514,10
741,25 a 59,MUJERES,839,EL PROGRESO,0.3487115544472153,10
741,60 y más,HOMBRES,154,EL PROGRESO,0.06400665004156277,2
741,60 y más,MUJERES,166,EL PROGRESO,0.06899418121363259,2
817,18 a 24,HOMBRES,177,OCOSINGO,0.07736013986013986,2
817,18 a 24,MUJERES,229,OCOSINGO,0.10008741258741259,3
817,25 a 59,HOMBRES,742,OCOSINGO,0.3243006993006993,10
817,25 a 59,MUJERES,811,OCOSINGO,0.354458041958042,11
817,60 y más,HOMBRES,161,OCOSINGO,0.07036713286713286,2
817,60 y más,MUJERES,168,OCOSINGO,0.07342657342657342,2
839,18 a 24,HOMBRES,307,TENANGO,0.10029402156158118,3
839,18 a 24,MUJERES,305,TENANGO,0.099640640313623,3
839,25 a 59,HOMBRES,952,TENANGO,0.31100947402809537,9
839,25 a 59,MUJERES,1105,TENANGO,0.36099313949689643,11
839,60 y más,HOMBRES,209,TENANGO,0.06827834041163018,2
839,60 y más,MUJERES,183,TENANGO,0.0597843841881738,2
897,18 a 24,HOMBRES,322,COLONIA C N C,0.11286365229582895,3
897,18 a 24,MUJERES,267,COLONIA C N C,0.0935856992639327,3
897,25 a 59,HOMBRES,929,COLONIA C N C,0.3256221521205748,10
897,25 a 59,MUJERES,974,COLONIA C N C,0.3413950227830354,10
897,60 y más,HOMBRES,194,COLONIA C N C,0.06799859796705222,2
897,60 y más,MUJERES,167,COLONIA C N C,0.05853487556957589,2
901,18 a 24,HOMBRES,337,OCUILAPA DE JUAREZ,0.08343649418172815,3
901,18 a 24,MUJERES,396,OCUILAPA DE JUAREZ,0.09804407031443427,3
901,25 a 59,HOMBRES,1343,OCUILAPA DE JUAREZ,0.3325080465461748,10
901,25 a 59,MUJERES,1396,OCUILAPA DE JUAREZ,0.34563010646199555,10
901,60 y más,HOMBRES,289,OCUILAPA DE JUAREZ,0.07155236444664521,2
901,60 y más,MUJERES,278,OCUILAPA DE JUAREZ,0.06882891804902204,2
903,18 a 24,HOMBRES,225,EL GAVILAN,0.11024007839294464,3
903,18 a 24,MUJERES,215,EL GAVILAN,0.10534051935325821,3
903,25 a 59,HOMBRES,673,EL GAVILAN,0.3297403233708966,10
903,25 a 59,MUJERES,696,EL GAVILAN,0.3410093091621754,10
903,60 y más,HOMBRES,127,EL GAVILAN,0.06222439980401764,2
903,60 y más,MUJERES,105,EL GAVILAN,0.0514453699167075,2
904,18 a 24,HOMBRES,71,VILLAHERMOSA,0.07230142566191446,2
904,18 a 24,MUJERES,90,VILLAHERMOSA,0.09164969450101833,3
904,25 a 59,HOMBRES,315,VILLAHERMOSA,0.32077393075356414,10
904,25 a 59,MUJERES,361,VILLAHERMOSA,0.36761710794297353,11
904,60 y más,HOMBRES,78,VILLAHERMOSA,0.07942973523421588,2
904,60 y más,MUJERES,67,VILLAHERMOSA,0.06822810590631365,2
912,18 a 24,HOMBRES,132,EJIDO JOSE CASTILLO TIELMANS,0.07403252944475602,2
912,18 a 24,MUJERES,128,EJIDO JOSE CASTILLO TIELMANS,0.0717891194615816,2
912,25 a 59,HOMBRES,576,EJIDO JOSE CASTILLO TIELMANS,0.32305103757711723,10
912,25 a 59,MUJERES,578,EJIDO JOSE CASTILLO TIELMANS,0.32417274256870443,10
912,60 y más,HOMBRES,198,EJIDO JOSE CASTILLO TIELMANS,0.11104879416713405,3
912,60 y más,MUJERES,171,EJIDO JOSE CASTILLO TIELMANS,0.09590577678070668,3
946,18 a 24,HOMBRES,273,PALENQUE,0.08125,2
946,18 a 24,MUJERES,287,PALENQUE,0.08541666666666667,3
946,25 a 59,HOMBRES,1050,PALENQUE,0.3125,9
946,25 a 59,MUJERES,1294,PALENQUE,0.38511904761904764,12
946,60 y más,HOMBRES,233,PALENQUE,0.0693452380952381,2
946,60 y más,MUJERES,223,PALENQUE,0.06636904761904762,2
947,18 a 24,HOMBRES,645,PALENQUE,0.09097320169252468,3
947,18 a 24,MUJERES,633,PALENQUE,0.08928067700987306,3
947,25 a 59,HOMBRES,2422,PALENQUE,0.341607898448519,10
947,25 a 59,MUJERES,2714,PALENQUE,0.38279266572637516,11
947,60 y más,HOMBRES,308,PALENQUE,0.04344146685472496,1
947,60 y más,MUJERES,368,PALENQUE,0.05190409026798307,2
963,18 a 24,HOMBRES,192,ROBERTO BARRIOS,0.09018318459370596,3
963,18 a 24,MUJERES,217,ROBERTO BARRIOS,0.10192578675434476,3
963,25 a 59,HOMBRES,696,ROBERTO BARRIOS,0.3269140441521841,10
963,25 a 59,MUJERES,732,ROBERTO BARRIOS,0.343823391263504,10
963,60 y más,HOMBRES,147,ROBERTO BARRIOS,0.06904650070455613,2
963,60 y más,MUJERES,145,ROBERTO BARRIOS,0.06810709253170502,2
965,18 a 24,HOMBRES,222,EL DESIERTO,0.08470049599389547,3
965,18 a 24,MUJERES,253,EL DESIERTO,0.09652804273178177,3
