"seccion","g_etario","sexo","n","pct","enc.3","encuestas"
1920,"25 a 59","HOMBRES",541,0.3417561591914087,135,46
1920,"25 a 59","MUJERES",471,0.29753632343651293,135,40
1920,"60 y más","HOMBRES",141,0.0890713834491472,135,12
1920,"60 y más","MUJERES",118,0.07454200884396715,135,10
607,"18 a 24","HOMBRES",135,0.06468615237182558,186,12
607,"18 a 24","MUJERES",157,0.07522759942501198,186,14
607,"25 a 59","HOMBRES",664,0.31816003833253476,186,59
607,"25 a 59","MUJERES",769,0.368471490177288,186,69
607,"60 y más","HOMBRES",182,0.08720651653090561,186,16
607,"60 y más","MUJERES",180,0.08624820316243412,186,16
639,"18 a 24","HOMBRES",190,0.07612179487179487,44,3
639,"18 a 24","MUJERES",204,0.08173076923076923,44,4
639,"25 a 59","HOMBRES",754,0.3020833333333333,44,13
639,"25 a 59","MUJERES",885,0.3545673076923077,44,16
639,"60 y más","HOMBRES",214,0.08573717948717949,44,4
639,"60 y más","MUJERES",249,0.0997596153846154,44,4
640,"18 a 24","HOMBRES",86,0.05822613405551794,44,3
640,"18 a 24","MUJERES",101,0.06838185511171294,44,3
640,"25 a 59","HOMBRES",445,0.3012863913337847,44,13
640,"25 a 59","MUJERES",503,0.34055517941773866,44,15
640,"60 y más","HOMBRES",158,0.1069735951252539,44,5
640,"60 y más","MUJERES",184,0.12457684495599188,44,5
641,"18 a 24","HOMBRES",140,0.0665083135391924,44,3
641,"18 a 24","MUJERES",151,0.07173396674584323,44,3
641,"25 a 59","HOMBRES",678,0.32209026128266033,44,14
641,"25 a 59","MUJERES",744,0.3534441805225653,44,16
641,"60 y más","HOMBRES",193,0.09168646080760096,44,4
641,"60 y más","MUJERES",199,0.09453681710213777,44,4
642,"18 a 24","HOMBRES",183,0.096723044397463,44,4
642,"18 a 24","MUJERES",176,0.09302325581395347,44,4
642,"25 a 59","HOMBRES",593,0.3134249471458774,44,14
642,"25 a 59","MUJERES",675,0.35676532769556024,44,16
642,"60 y más","HOMBRES",136,0.07188160676532769,44,3
642,"60 y más","MUJERES",129,0.06818181818181818,44,3
774,"18 a 24","HOMBRES",90,0.06105834464043419,142,9
774,"18 a 24","MUJERES",135,0.09158751696065127,142,13
774,"25 a 59","HOMBRES",465,0.31546811397557667,142,45
774,"25 a 59","MUJERES",513,0.3480325644504749,142,49
774,"60 y más","HOMBRES",140,0.0949796472184532,142,13
774,"60 y más","MUJERES",131,0.08887381275440977,142,13
778,"18 a 24","HOMBRES",79,0.08652792990142388,283,24
778,"18 a 24","MUJERES",41,0.04490690032858707,283,13
778,"25 a 59","HOMBRES",299,0.32749178532311063,283,93
778,"25 a 59","MUJERES",262,0.28696604600219056,283,81
778,"60 y más","HOMBRES",115,0.12595837897042717,283,36
778,"60 y más","MUJERES",117,0.1281489594742607,283,36
818,"18 a 24","HOMBRES",300,0.08700696055684455,33,3
818,"18 a 24","MUJERES",326,0.0945475638051044,33,3
818,"25 a 59","HOMBRES",1097,0.3181554524361949,33,10
818,"25 a 59","MUJERES",1343,0.38950116009280744,33,13
818,"60 y más","HOMBRES",176,0.05104408352668213,33,2
818,"60 y más","MUJERES",206,0.05974477958236659,33,2
946,"18 a 24","HOMBRES",273,0.08125,33,3
946,"18 a 24","MUJERES",287,0.08541666666666667,33,3
946,"25 a 59","HOMBRES",1050,0.3125,33,10
946,"25 a 59","MUJERES",1294,0.3851190476190477,33,13
946,"60 y más","HOMBRES",233,0.0693452380952381,33,2
946,"60 y más","MUJERES",223,0.06636904761904762,33,2
947,"18 a 24","HOMBRES",645,0.09097320169252468,33,3
947,"18 a 24","MUJERES",633,0.08928067700987306,33,3
947,"25 a 59","HOMBRES",2422,0.341607898448519,33,11
947,"25 a 59","MUJERES",2714,0.3827926657263752,33,13
947,"60 y más","HOMBRES",308,0.04344146685472496,33,1
947,"60 y más","MUJERES",368,0.05190409026798307,33,2
954,"18 a 24","HOMBRES",160,0.08307372793354102,164,14
954,"18 a 24","MUJERES",165,0.08566978193146417,164,14
954,"25 a 59","HOMBRES",604,0.31360332294911736,164,51
954,"25 a 59","MUJERES",686,0.3561786085150571,164,58
954,"60 y más","HOMBRES",159,0.08255451713395638,164,14
954,"60 y más","MUJERES",152,0.07892004153686397,164,13
1053,"18 a 24","HOMBRES",81,0.07692307692307693,30,2
1053,"18 a 24","MUJERES",74,0.07027540360873694,30,2
1053,"25 a 59","HOMBRES",324,0.3076923076923077,30,9
1053,"25 a 59","MUJERES",378,0.358974358974359,30,11
1053,"60 y más","HOMBRES",103,0.09781576448243116,30,3
1053,"60 y más","MUJERES",93,0.08831908831908832,30,3
1058,"18 a 24","HOMBRES",66,0.06918238993710692,30,2
1058,"18 a 24","MUJERES",85,0.08909853249475891,30,3
1058,"25 a 59","HOMBRES",310,0.3249475890985325,30,10
1058,"25 a 59","MUJERES",326,0.3417190775681342,30,10
1058,"60 y más","HOMBRES",88,0.09224318658280922,30,3
1058,"60 y más","MUJERES",79,0.08280922431865828,30,2
1062,"18 a 24","HOMBRES",281,0.0889803673210893,30,3
1062,"18 a 24","MUJERES",278,0.08803039898670044,30,3
